word1,word2,freq
apple,watch,449
music,music,218
apple,music,167
music,applause,106
apple,pencil,95
apple,pay,86
applause,music,85
spatial,audio,79
machine,learning,73
heart,rate,67
battery,life,64
yeah,yeah,59
dolby,atmos,57
split,view,57
real,time,56
retina,display,55
apple,news,54
apple,devices,53
iphone,xs,52
neural,engine,52
ultra,wide,50
homepod,mini,46
apple,arcade,45
macbook,pros,45
quick,note,45
apple,silicon,44
apple,card,42
app,library,41
share,play,41
universal,control,41
augmented,reality,40
wibbly,wobbly,40
pretty,cool,38
watch,series,38
magic,keyboard,37
facetime,calls,36
times,faster,36
wow,wow,35
apple,park,33
